mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,delta_mfcc1_mean,delta_mfcc1_std,delta_mfcc2_mean,delta_mfcc2_std,delta_mfcc3_mean,delta_mfcc3_std,delta_mfcc4_mean,delta_mfcc4_std,delta_mfcc5_mean,delta_mfcc5_std,delta_mfcc6_mean,delta_mfcc6_std,delta_mfcc7_mean,delta_mfcc7_std,delta_mfcc8_mean,delta_mfcc8_std,delta_mfcc9_mean,delta_mfcc9_std,delta_mfcc10_mean,delta_mfcc10_std,delta_mfcc11_mean,delta_mfcc11_std,delta_mfcc12_mean,delta_mfcc12_std,delta_mfcc13_mean,delta_mfcc13_std,chroma_mean,chroma_std,contrast_mean,contrast_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,tonnetz1_mean,tonnetz1_std,tonnetz2_mean,tonnetz2_std,tonnetz3_mean,tonnetz3_std,tonnetz4_mean,tonnetz4_std,tonnetz5_mean,tonnetz5_std,tonnetz6_mean,tonnetz6_std,zcr_mean,tempo,file,emotion
-138.7778,48.4726,115.72026,24.211294,-13.459595,18.455326,28.933603,15.78478,4.2487373,11.866683,12.083835,10.329418,3.4400835,8.928582,1.103801,8.493141,-0.37797445,7.7299886,6.9264436,10.460052,-5.050457,8.645812,4.974004,7.751986,0.84060127,7.9491215,0.19420165,6.5539017,0.02056539,4.140916,0.017116016,2.6082473,0.010410976,1.897523,-0.00040467482,1.5232052,-0.0039231754,1.3916608,-0.012379193,1.2349802,2.7093489e-05,1.2115431,-0.00016193473,1.0963285,0.0024844788,1.2784501,-0.00290929,1.1298493,0.0015648579,1.2876302,-0.004913996,1.1161484,0.38540632,0.30658048,23.3514299635082,11.06661305031374,2122.7969101957187,366.24611336928086,3797.365394368238,1150.8173221485376,0.09648789063847235,0.2522943511111511,0.006908866982884236,0.12711121521766525,-0.17194635349785098,0.14429161422962822,0.108959102876472,0.18739643120628044,-0.01739571667992566,0.09457103575949115,-0.0036990549957541677,0.1050248226102455,0.06819535677485832,[143.5546875],2.wav,sad
-245.03827,51.9647,129.64633,24.91587,11.065142,13.660594,44.862724,9.707664,19.511017,8.893276,27.888744,8.368298,20.370123,8.129534,14.797442,7.882416,10.218715,7.3509054,10.335851,6.772232,0.381898,5.9410233,0.69736975,6.5254145,0.6547787,8.460067,0.15419687,10.959371,0.051334385,5.4396205,0.006978159,2.530794,0.016048286,1.6876277,0.011303152,1.4924943,0.003995208,1.268792,0.002222057,1.1868591,0.0025549284,1.0403373,-0.0022213194,1.1550094,0.0022100783,1.0152574,0.001246614,0.8955916,-0.007624114,0.94082433,-0.00520215,1.0651463,0.44384593,0.2964559,24.614100686253355,10.522110744546628,1673.0109081170012,530.098878667758,2072.94263702078,1372.3823668878529,0.3410203194859486,0.2435571342998466,0.06655835733319579,0.34932497578541727,-0.01653562109058154,0.3221551385412519,0.20025970392497952,0.3116573760540144,0.05365719802451407,0.14161311856758751,0.007337146059858497,0.16522990578497596,0.02441053882087629,[95.703125],3.wav,sad
-104.940216,57.528713,113.59892,28.309599,-11.113513,16.644217,35.522465,13.627472,29.523716,8.940355,11.209983,7.7153535,-0.7922488,8.5952425,4.6432114,7.848428,-0.52462864,7.195687,1.8150098,6.4648647,-0.9295775,5.934029,5.673705,6.012051,-3.165005,6.6051555,0.1882943,9.4445,0.031420782,3.7022364,-0.008438636,2.2915936,0.016499493,1.9743896,0.005170883,1.6475788,-0.010152019,1.4401582,-0.006843329,1.4705639,0.0031524268,1.384512,0.0059653954,1.1740358,0.00541387,1.0226113,8.86412e-05,1.0950831,-0.0038817415,1.0119047,-0.0093287835,1.1568835,0.34964663,0.29378086,23.898488129794934,11.707317844167052,2086.1086700922724,451.144191928823,3366.066982623228,1269.7590740350588,0.24849103723353191,0.12778816576501367,0.020814803697322262,0.11462984047843848,-0.16057097137396853,0.17923475973745004,0.10152195628741942,0.1263448738358617,0.03840184605231679,0.04216225780974548,0.061610913420451406,0.05957946372523044,0.06736796270940722,[172.265625],4.wav,happy
-142.9627,56.132584,116.6268,29.133476,4.4800982,16.878057,25.239733,14.623781,-6.3413014,11.684517,-12.160664,14.0929365,-6.476239,10.002977,-11.558877,10.220662,-10.434075,9.739789,-12.519708,10.686597,-8.767886,10.022317,-9.102658,7.593218,-14.052267,11.222613,0.16318999,9.327187,0.028764458,4.6203804,0.012829211,2.680444,0.012503603,2.1703782,-0.01204793,1.8592793,-0.009348271,2.1061673,-0.013427396,1.695146,-0.0070525366,1.6425586,-0.0062405746,1.566592,-0.0076453574,1.7363554,-0.0118603455,1.5174906,0.0027022962,1.2669125,-0.008269184,1.447289,0.29312178,0.2976132,26.10230205650245,9.87515003195241,2110.4323767585515,459.7208131311808,3275.6497286767076,1388.968643009237,-0.12913881927232282,0.15361377138295748,-0.3247583558665214,0.11958108100736765,0.16015043092325051,0.2565545873633572,-0.09963665864929645,0.1955077426995601,-0.009054061012038688,0.0857111268694236,0.04974262829103079,0.09026188180738903,0.06417274081829896,[99.38401442],5.wav,angry
-150.70229,57.331593,109.89414,23.96179,25.223612,13.168869,47.542023,7.6818743,16.307114,7.723817,31.043268,6.372381,7.611819,8.52081,11.738422,7.696456,-3.2185454,6.5928597,1.4236498,7.0167336,-0.84372455,6.0604186,3.2432506,5.9788284,0.9676845,6.0591655,0.08022215,12.098545,0.039851543,4.9249625,0.005631188,2.4609878,0.022982774,1.3941598,0.0024365073,1.3476517,0.010954686,1.1182048,0.007009919,1.5281099,0.008435473,1.1684347,0.0046854685,1.0441673,0.007590421,1.0939566,0.004823376,0.9131396,0.0024285081,0.914106,-0.002031979,0.9515789,0.3523912,0.32631758,21.7936705636351,11.995088226206635,2088.4331037404213,467.4159430248294,3021.8483596164992,1679.5537881365099,0.13145273171207986,0.1355261845568167,0.03534698786041331,0.15109468274406615,0.06141256536215506,0.2141276233483771,0.013920150812626488,0.19278017056644475,-0.011649062173821702,0.0960412599896706,-0.04804045821849295,0.07472700508576541,0.022939910967284906,[117.45383523],7.wav,happy
-291.0779,99.7084,134.77287,53.59009,75.17739,27.242016,32.590767,18.074678,12.91037,12.097795,17.766771,12.439074,1.8208013,8.845848,4.0166464,6.6939516,-0.25203526,7.124507,3.3435247,7.6565785,1.3358256,6.355915,0.106749795,5.847073,-2.7721112,5.888251,0.12295272,21.181479,0.030886238,9.765303,-0.003911626,5.6999364,-0.007509136,2.84078,0.01245729,2.097429,0.016497463,1.9085969,-0.0074518058,1.5444465,-0.017891772,1.2632211,-0.008352309,1.275305,0.002550909,1.3917271,0.0040609934,1.0795379,-1.3793884e-05,1.0651677,-0.0055301976,1.0401314,0.3859516,0.31222993,22.745997021612627,10.365141670836437,1751.683081461418,1088.96926285364,2576.3850735365145,3039.47727910506,0.1297078406893856,0.0801655516868094,-0.012443019589937501,0.08222489863441794,-0.09215705715516227,0.0636633859795348,0.13178605535813662,0.15594667814515809,0.014601115291944279,0.03905673020679393,0.010772857753490907,0.036232633424547425,0.032890182251416794,[161.49902344],8.wav,sad
-267.08456,81.87249,127.4929,45.61354,8.400569,38.09314,20.838907,14.64356,22.413385,13.302961,4.686981,13.5585785,3.5016499,11.701212,11.011948,10.141169,2.529601,9.761619,-0.5624362,11.389168,-2.983005,12.304936,3.7168612,11.506456,-4.9976764,12.008928,0.25412923,17.825478,0.011267492,10.059611,-0.011943226,6.1273956,0.0012449614,2.1872056,0.005341074,2.110904,-0.0017665547,2.2396443,0.003946429,1.5728662,0.006010662,1.4141979,0.008378541,1.3022845,0.011165898,1.4565523,-0.005713782,1.4170891,-0.00018522188,1.3875744,-0.008949976,1.3994823,0.26131013,0.30645332,25.170274499698213,10.64263460042301,1947.9620237359804,845.4311688959306,3405.2192511108965,2326.8971610780104,0.19569904215835382,0.1809364007420215,-0.013611782621674003,0.21366371748756552,-0.06059364028325919,0.25275371729037444,-0.00030796643224740655,0.22693987818544867,0.0145160036261556,0.09459520187665686,0.04297939402602824,0.10218100154833495,0.07606571596470892,[95.703125],10.wav,sad
-95.87583,89.41937,97.57857,43.062687,22.593138,20.79478,33.116936,13.352415,9.287183,10.812294,10.385682,10.175953,-4.739202,9.416104,5.0204153,8.511408,-5.153192,7.51908,-1.8164943,7.086835,-6.142542,6.85957,-1.5888473,6.71464,-10.294559,7.1692414,0.2368086,14.796622,0.016704628,6.6019173,0.0046297847,3.0997577,0.018333575,1.8907975,0.0060001835,1.4803044,0.0066389637,1.3039908,0.0017863484,1.3552165,0.008223256,1.1575173,-0.00047768618,1.0157154,0.0010792984,1.0242,-0.0014743825,1.1032171,0.0008806222,0.9109538,-0.005001234,1.0249163,0.35968667,0.3058489,21.866667131225896,11.859248952806992,2443.8663541831866,718.7346756524248,4702.913688176198,2509.698188612147,-0.04029753382077235,0.15839699770101343,0.23527219226881968,0.20333023121266733,0.12496953788007081,0.2130238310609193,0.119160964423843,0.2576224368092808,0.017670240713640303,0.06194157541915052,0.05847435596668077,0.0978790084647058,0.07401901001416795,[92.28515625],12.wav,happy
-197.41664,69.35692,109.591644,34.03912,9.102394,19.894634,37.25958,15.51875,6.1132345,12.028672,2.461423,14.999578,4.7322226,10.948317,-1.6171771,9.550336,-7.152145,9.34104,-3.481187,9.848286,-10.791151,9.653254,-7.471234,10.8604555,-11.566249,8.856749,0.18897685,10.360055,0.06744385,5.669245,-0.030543711,3.1056192,-0.0038716441,2.324795,-0.014073113,1.8778166,-0.006021018,2.2821016,0.0032674347,1.7395378,0.0029846244,1.4990765,-0.0056981565,1.4567162,0.009133146,1.5079399,0.002056164,1.4205137,0.007340475,1.4927664,-0.007659581,1.3712602,0.27454114,0.30266106,26.349326824088735,9.649736302604625,2055.8856608312767,504.97528510268353,3141.5734127463293,1787.413128041739,-0.08366740204686161,0.2467511786211592,0.41939209971012315,0.17154259796262042,0.007696318625707931,0.29443683535747567,-0.039499679868340805,0.44849343246265927,0.012690666618622098,0.16149605710035891,0.005989174979968463,0.1627476827658031,0.05207729585265327,[86.1328125],13.wav,sad
-80.964935,65.41839,101.83749,30.49322,-4.5816603,16.804602,39.01842,11.44117,0.63288766,8.940248,16.518847,10.310746,2.2957141,9.774087,7.601435,8.513746,-5.4202347,7.7559505,-4.2081504,8.420713,-7.151205,8.673955,-0.34015217,7.1118526,-0.97460103,7.026625,0.13506494,11.304749,0.049797848,5.135112,0.009667582,2.9071603,0.017800255,1.9318348,0.0048396266,1.3536522,0.020832783,1.6774197,-0.0024712414,1.6618115,-0.008969355,1.4648298,-0.0047669327,1.2652316,0.0030282624,1.3091187,0.0090587055,1.277566,-0.008908415,1.1445006,-0.00566181,1.1134783,0.3423095,0.29551977,23.2427795665921,11.598917926603361,2210.5255365673465,448.4279239222769,4196.25106410597,1435.2607104955773,0.1029059709582154,0.1277172626270573,0.2102844379727594,0.13971924801008045,0.17956820587228822,0.1499472707257518,-0.057311169930774036,0.1357931512308726,0.05487932873784984,0.07290061415884538,-0.06877138190030678,0.05892509594485348,0.06980862192490984,[107.66601562],17.wav,angry
