mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,delta_mfcc1_mean,delta_mfcc1_std,delta_mfcc2_mean,delta_mfcc2_std,delta_mfcc3_mean,delta_mfcc3_std,delta_mfcc4_mean,delta_mfcc4_std,delta_mfcc5_mean,delta_mfcc5_std,delta_mfcc6_mean,delta_mfcc6_std,delta_mfcc7_mean,delta_mfcc7_std,delta_mfcc8_mean,delta_mfcc8_std,delta_mfcc9_mean,delta_mfcc9_std,delta_mfcc10_mean,delta_mfcc10_std,delta_mfcc11_mean,delta_mfcc11_std,delta_mfcc12_mean,delta_mfcc12_std,delta_mfcc13_mean,delta_mfcc13_std,chroma_mean,chroma_std,contrast_mean,contrast_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,tonnetz1_mean,tonnetz1_std,tonnetz2_mean,tonnetz2_std,tonnetz3_mean,tonnetz3_std,tonnetz4_mean,tonnetz4_std,tonnetz5_mean,tonnetz5_std,tonnetz6_mean,tonnetz6_std,zcr_mean,tempo,file,emotion
-114.46929,46.670094,118.37433,16.52419,16.303663,15.956551,30.62162,9.83819,9.252279,9.587603,7.9286566,6.2480955,3.3337667,5.361814,7.237389,4.732095,0.88133734,4.3800955,5.1553845,4.88223,-5.2775054,5.4982305,3.2901778,5.994054,4.0409284,5.322737,0.08616725,6.845979,0.07493272,2.533131,-0.13346455,2.6720555,0.055445,1.5731928,-0.028703751,1.5032961,0.0098694125,1.0557612,-0.027680235,0.7922844,-0.021316255,0.80765796,0.008309893,0.7048329,-0.008691718,0.8478068,-0.0036454564,0.817961,0.027381646,0.7909522,0.0073953806,0.78673583,0.4088891,0.28391725,21.436339804251396,11.150973028547005,2313.9814232893987,355.36073323931623,3700.421142578125,1282.1414989748223,0.07151778198924447,0.07259939558247575,0.016574271172960467,0.0507589264820735,0.02441747812985356,0.06078136714810692,0.030357011147619035,0.06821831983902292,0.0022365932447564957,0.04225849759643196,-0.008055019657519865,0.03108136935036584,0.05031444408275463,[129.19921875],train/Happy/Happy29009.wav,happy
-310.27527,161.92944,141.52365,31.403086,-5.2199554,29.405807,-1.8004402,25.38948,-3.2549477,7.9904914,2.7795908,9.752012,-3.2245364,9.693764,-0.72387385,8.624833,-7.3844066,7.2512846,-4.252441,8.616531,-6.096194,6.7703443,-2.2529495,7.14398,2.6535368,8.467891,-0.72920984,5.7420373,0.042282626,3.2130256,0.0566077,2.437401,-0.16111821,1.3342593,-0.024361962,1.0201766,-0.04923119,1.1362214,0.008917202,1.1272783,0.0034476987,1.0845668,0.022951612,0.99600786,-0.052113753,0.96775395,-0.05435077,0.9486833,-0.034370422,1.0420687,0.013128929,1.1262403,0.2612198,0.2835532,25.39094516973177,10.543608532032804,1197.0784438263684,574.8264719669679,2018.6253806554525,934.809238933631,0.2950261162352699,0.08187501240252518,-0.06595469206787406,0.148605686597807,-0.06679115869783413,0.2574965151033214,0.10667521390942836,0.11143657295382532,0.006806537181963159,0.07971247033064276,0.057393156661081565,0.0898918304753886,0.07369761455916474,[215.33203125],train/Happy/Happy28317.wav,happy
-126.29297,36.699905,149.41283,21.680712,-17.249836,9.076038,27.62806,5.7785316,0.23507434,4.600072,5.4333744,4.9841685,-3.408189,4.33799,0.96985006,4.5109296,-8.636614,4.489444,0.24383941,5.0647974,-5.8004766,4.955236,-1.1919118,4.737939,-2.500298,5.3633437,0.051339943,7.4062862,0.051000237,4.1377277,-0.053794667,1.6174858,0.015421889,0.98386186,-0.009996228,0.81781965,-0.029478356,0.886663,0.005927701,0.7484314,0.0062142825,0.77223057,0.015478219,0.7505428,0.019233054,0.7574023,0.0013267867,0.77268404,-0.03101171,0.8339261,-0.02488057,0.9225066,0.35694456,0.2844089,23.1742781845487,11.066426412972778,1728.1832914165586,282.13977017614565,2679.484880274797,665.2397994027227,0.2707988961371237,0.051114482785345534,0.1021991904134371,0.19504488286983915,0.08903085556002226,0.29638985908552606,0.07811971513550058,0.12039638311276252,0.035278175716692776,0.07192584449634615,0.0009738563072681254,0.08611966757170558,0.05512253480278422,[107.66601562],train/Happy/Happy28303.wav,happy
-647.6367,48.732082,157.0388,18.752337,102.90936,6.677021,45.01269,9.761279,16.881804,5.4634047,1.0613564,6.9470906,-11.161755,4.4549875,-13.243392,4.467925,-16.875278,3.9585974,-7.189337,5.0173893,-1.1746459,4.1243873,5.472308,5.622619,11.102282,7.732463,-0.18257672,2.03223,-0.15985359,1.0634335,-0.10186129,0.95665306,-0.0024441062,0.817943,0.017441606,0.6185525,-0.037736706,0.7773228,0.004769477,0.7637842,-0.006560067,0.79525405,0.013489073,0.6990482,-0.018293839,0.6707211,0.028223682,0.6644133,0.023093758,0.7797842,-0.033285353,0.97553474,0.3043366,0.29357278,28.29913869169873,13.62215184950545,1100.5043114953378,536.5590519543897,536.8596394856771,296.06293742915074,0.3111829802287439,0.10666526098202012,0.13301808031540496,0.056882911826298774,-0.4166945405347552,0.09153268940851875,0.10178017330191931,0.05608337898055337,-0.006840823814336057,0.02355529390207962,0.1919407276172596,0.04746718830718879,0.02414844654224537,[129.19921875],train/Happy/Happy29021.wav,happy
-101.073265,67.55332,115.64111,25.262142,-36.717144,13.678718,29.836287,8.957845,-5.997484,7.3059015,-0.38895744,5.378436,-4.3381867,6.0258574,0.83767694,7.3233786,-3.5665054,9.39719,4.3079576,6.818734,-2.2603188,8.329908,1.4438024,9.4641,-5.6044216,8.550116,0.057938702,9.702215,0.02270145,4.1352034,-0.075683415,2.3804178,0.037871182,1.5018183,0.013562473,1.1406025,-0.016586967,0.94320863,0.018218786,0.8659244,-0.021249829,0.9618871,-0.01863473,1.0357072,-0.012666782,0.8511337,0.0024348611,0.9726969,0.012662556,1.1858528,0.05066034,1.1193503,0.37467888,0.28037047,24.572169042555508,11.063514236209567,1887.7091094153218,266.4363159243529,3594.3962079466355,701.9739263935624,0.06449929151794605,0.12232643095240013,0.07130536198285654,0.1296750917519393,-0.12537649864646422,0.17886139388398417,-0.007759739431983276,0.21017720639473464,-0.0007288559261136833,0.07212079891080053,-0.04102645380143719,0.057418365139176634,0.10404582366589327,[112.34714674],train/Happy/Happy14411.wav,happy
-120.197075,58.018322,87.43332,17.195732,-17.20532,13.439805,19.498755,7.7383113,-7.082458,7.320267,-0.43318197,5.978341,-7.266683,4.98213,-3.6849964,5.992914,-4.204346,7.829574,4.2786937,7.3065944,-3.7004511,8.528822,4.0004315,9.859406,0.06213535,9.215708,0.055961873,7.2572956,-0.04066716,2.4159496,-0.0422851,2.1239922,0.005270193,1.5571418,-0.01812879,1.3130531,-0.0011968679,1.0238305,-0.0197028,0.8422334,0.015416591,1.056984,0.047890328,1.4126476,0.056040864,0.9797042,0.014553869,1.3264973,-0.061876174,1.7712485,-0.081879444,1.7039382,0.24282761,0.28470036,26.203203095935436,10.775712817658636,2309.705764003422,302.4074655825227,4601.820778070494,976.8075807587423,0.14700201475632868,0.12810809782918034,0.11699923767931779,0.16419197252862988,-0.07350240586498825,0.2063472192356359,0.029533366261179445,0.2649956070735083,-0.011462858689951571,0.12573078042587016,-0.03161867182555627,0.07809182950793264,0.11942450944767442,[107.66601562],train/Happy/Happy14405.wav,happy
-113.35459,45.166412,111.26282,19.362486,25.82014,12.778079,32.301647,10.571284,8.950118,7.9927683,15.310046,7.7789817,3.289205,8.200076,9.40593,8.697029,2.0941021,7.5167747,15.187314,6.7555656,2.5596662,8.207023,1.9899126,8.486267,-4.920955,8.464437,-0.070114896,9.736539,-0.10751573,3.818865,-0.019915333,2.2999566,0.051426265,1.5216728,0.02171382,1.4391617,-0.010151485,1.113971,-0.0047636386,1.240074,-0.013617482,1.2237563,0.02396491,1.0599247,0.014016298,1.0451038,-0.0190899,1.2831382,0.017372727,1.2098262,-0.0011779671,1.2889202,0.34128675,0.29270348,24.88325045012345,10.604529238614289,2275.301666105558,411.9274596040462,3594.9207987420245,1575.2448074016863,0.18626668773725183,0.12371449581782835,0.09524519843711542,0.16604148195447366,0.10877454563275168,0.26235590104123796,0.11401007647610917,0.127757268196762,0.055289454045405625,0.05326800877100481,0.001513609669945028,0.0903926031481197,0.05138168866009281,[135.99917763],train/Happy/Happy41809.wav,happy
-98.351555,68.51955,131.67061,23.855886,2.821191,20.956848,17.464586,10.320105,17.478207,8.586503,9.967296,8.297764,5.8811307,7.5780954,9.927453,7.428321,5.9320707,6.9593987,8.640139,8.377417,2.870266,8.816757,5.706924,9.177455,1.9973702,8.617026,0.36880854,12.498505,-0.21376719,4.7373333,0.0066829845,3.3747685,-0.055769537,1.8776808,-0.017885322,1.5613412,-0.031608474,1.4851767,0.00052230153,1.2851174,-0.026702182,1.1340644,-0.035093315,0.9888612,-0.016377557,1.3766729,0.01946266,1.286536,0.053055517,1.4190617,0.022480875,1.3183736,0.31238374,0.28679818,23.183366019114057,10.20597729699626,2042.3053733999554,476.513884821464,2901.986319061775,1482.8303360668485,0.04956332782276174,0.1552590643860646,0.24193613518163015,0.14188361718106499,-0.03554893963972447,0.34108774354246774,0.04823379281890907,0.16205895969626585,-0.029488027683978794,0.11798793502674873,-0.0468402089515437,0.05549856071857623,0.05460253226508121,[92.28515625],train/Happy/Happy33509.wav,happy
-344.41852,35.674206,165.27904,15.438516,-10.792323,9.042804,31.579487,10.125944,-6.7251296,6.5356894,4.8153434,6.2067523,-7.679332,5.1648307,-9.067704,7.3178163,-10.300988,5.753786,1.8118473,6.1590705,-4.9786944,7.164868,-9.20398,8.171142,-6.795811,8.290353,-0.22340673,5.6072493,0.022113327,2.2069733,-0.035135232,1.5718786,0.029790692,1.2560573,0.028011648,1.102707,0.031464722,0.86428314,0.019574307,0.9555474,-0.016008012,1.0627915,0.01891465,1.1301473,0.0049820147,1.1087168,-0.02136522,1.0811325,0.020827364,1.4103782,0.008447231,1.2922282,0.2444049,0.2794197,25.58932162813703,11.63473191899712,1376.4679226596788,229.99973135420416,1886.6283443300465,461.3976876249426,0.17799553936233736,0.2417016839155881,0.043589667037926515,0.3069492840938264,-0.06224321468415671,0.23336569103891858,0.13165712631750445,0.31104932843290534,-0.11255577045740991,0.10160344187487647,0.017416018376822544,0.11595200437987496,0.04912494562064965,[80.74951172],train/Happy/Happy36303.wav,happy
-443.44232,89.75091,87.382904,41.641705,60.712143,23.65401,23.60467,19.549511,5.126995,15.265563,7.98823,13.634038,5.062484,11.278227,4.7572,12.468758,4.5248694,9.020775,1.7532965,11.112609,-5.173742,10.703871,1.6886833,13.004519,-5.848277,12.122612,-0.4381959,15.848454,-0.28728858,6.6325245,-0.05632829,3.3065321,-0.048228055,2.4347742,-0.05238229,2.4371297,-0.13788348,1.5263942,-0.09111062,1.1682386,-0.039339393,1.7019304,-0.056288246,1.5264705,0.039250888,1.7232735,0.010086986,1.3524817,-0.021850094,1.5415967,0.034882918,1.7235252,0.27159312,0.32400697,24.300499143018314,11.064249916817625,2426.170987089528,786.7911839057736,3991.3615569714325,2874.125154604129,0.1224583017972857,0.2938760279408754,0.07912043576913165,0.12747812242452386,0.03522225326681232,0.29858942352104245,-0.05119323802370795,0.29328176439701353,-0.036590015822802247,0.10288890372660026,0.05517656608415002,0.13461358962048567,0.05698842626160093,[73.828125],train/Happy/Happy43011.wav,happy
